t,unnamed algorithm r,unnamed algorithm
256,0.050352,0.274700
257,0.052296,0.274900
258,0.051353,0.274476
259,0.051226,0.274168
260,0.052822,0.274816
261,0.053825,0.273612
262,0.053924,0.274648
263,0.054050,0.274652
264,0.054674,0.275652
265,0.055014,0.274492
266,0.053428,0.276088
267,0.053598,0.274876
268,0.054310,0.273560
269,0.053234,0.275332
270,0.053511,0.272880
271,0.052804,0.273400
272,0.054542,0.274428
273,0.054796,0.274684
274,0.054907,0.273308
275,0.054249,0.274032
276,0.053877,0.273016
277,0.055258,0.272696
278,0.056207,0.273792
279,0.055784,0.272900
280,0.055269,0.273008
281,0.056127,0.274100
282,0.056727,0.274400
283,0.056725,0.275576
284,0.056615,0.275148
285,0.056866,0.274332
286,0.056770,0.273916
287,0.056949,0.272856
288,0.057462,0.273656
289,0.058818,0.274048
290,0.060187,0.275916
291,0.059962,0.275040
292,0.059084,0.275844
293,0.060603,0.274948
294,0.062341,0.276508
295,0.063763,0.274864
296,0.063660,0.274260
297,0.062703,0.274184
298,0.062277,0.275868
299,0.061725,0.274756
300,0.061076,0.273924
