t,new.us
0,0.10892110611119332
1,0.1093694658150691
2,0.10978997314559605
3,0.1099363115111063
4,0.11031290825954583
5,0.11044436783277851
6,0.11058009145013944
7,0.11113967919872414
8,0.1116365764261883
9,0.11193324502830752
10,0.11208284947017133
11,0.112237534475252
12,0.11215252576571502
13,0.11269251705617808
14,0.11291787632457699
15,0.11315484830889988
16,0.11316546305704907
17,0.11348916751342875
18,0.11351928799535646
19,0.1139438779213254
20,0.114385705472494
21,0.11452315285237495
22,0.11491970895630876
23,0.11522572216577313
24,0.1152415082014822
25,0.11521410944984922
26,0.11529285817970839
27,0.11543710988532607
28,0.11587857453912195
29,0.11619420452896079
30,0.11563579619683713
31,0.11597873421396598
32,0.1160492270285979
33,0.11613251197561489
34,0.11634843591232566
35,0.11631477718101486
36,0.11659556902308191
37,0.11719044854115408
38,0.1171049862099014
39,0.11712948178255359
40,0.1171919001306446
41,0.11789583030919012
42,0.11781880534185085
43,0.11784057918420829
44,0.11799707867615197
45,0.11768462403832351
46,0.11778677964871698
47,0.11777562055450877
48,0.1187055450718552
49,0.11883782116417636
50,0.11866707795035727
51,0.11866471911743519
52,0.11892555160400811
53,0.11882285164755568
54,0.11899114530410959
55,0.11883809333720582
56,0.11902090288866465
57,0.1192644070256947
58,0.11919563797358254
59,0.1193078639860663
60,0.1195164392509814
61,0.11936511104659756
62,0.11960562128030347
63,0.11948005878937591
64,0.11984495209754831
65,0.11995282334156063
66,0.12023098417767605
67,0.12031318043257526
68,0.120163938888084
69,0.12014815285237493
70,0.12037115328785172
71,0.12070964581216592
72,0.12089935041370461
73,0.12110992161416907
74,0.1210429670489201
75,0.12093545870228059
76,0.12145966395703456
77,0.1213012592538846
78,0.12151319131949645
79,0.12189341704166215
80,0.12201081434170569
81,0.12174000217738574
82,0.12173891348526786
83,0.12176549571781259
84,0.12153042894469601
85,0.12172621207722618
86,0.1220822143997693
87,0.12172349034693149
88,0.12185186529249695
89,0.12216232399477585
90,0.12212576208448411
91,0.12227627376977959
92,0.1222667477137481
93,0.12232834954275099
94,0.12245373058499213
95,0.1229392872695618
96,0.12255461605458144
97,0.12252567498911464
98,0.12275520757729882
99,0.12275321164174935
100,0.12307156336188285
101,0.12362207867615209
