t,greedy,new,new greedy ver.,tabu
94,0.1354180578,0.1224537306,0.1442757476,0.1509802765
95,0.1357462077,0.1229392873,0.1446210444,0.1512786689
96,0.1358088982,0.1225546161,0.1445684243,0.1512339418
97,0.1360417876,0.122525675,0.1448903143,0.151631133
98,0.1365607309,0.1227552076,0.1454460916,0.1513187691
99,0.1364753593,0.1227532116,0.1458617905,0.1510534911
100,0.1364324467,0.1230715634,0.1458764879,0.1515844099
101,0.1366096313,0.1236220787,0.1461547394,0.1518102228
102,0.1365421324,0.1239221948,0.1463059769,0.15195266
103,0.1364951372,0.123801985,0.1464926876,0.1519835063
104,0.1366966359,0.1239504101,0.1465908514,0.1517489839
105,0.1372854369,0.1240391385,0.1464489585,0.1521512556
106,0.1375180541,0.1240619103,0.1466561729,0.1518567644
107,0.1377549354,0.1244489403,0.1465489367,0.151860847
108,0.137734341,0.1247094099,0.1465634526,0.1520530919
109,0.1378512847,0.1247438852,0.1467702134,0.1522505081
110,0.1376232944,0.1250315721,0.1467009907,0.1521296632
111,0.1378375853,0.1251367216,0.1469841414,0.1521583321
112,0.1381139316,0.1253421215,0.1472201154,0.1526013391
113,0.1380036108,0.1255576825,0.1474561801,0.153056866
114,0.1377650965,0.1255962404,0.1474932864,0.1527339781
115,0.1376170344,0.1258532624,0.1475043548,0.1529704057
116,0.1382624474,0.1257432138,0.1481588402,0.1532737879
117,0.1382961968,0.1257172667,0.1477388772,0.1534350958
118,0.1379281282,0.1259162251,0.14817009,0.1537292241
119,0.1379914538,0.126238478,0.1485917767,0.1531344353
120,0.1386059297,0.12648171,0.1479194186,0.1537545362
121,0.1379560713,0.1267630462,0.1480679344,0.1540854079
122,0.1380076934,0.1266361228,0.148278687,0.1541207904
123,0.1381602918,0.1267019887,0.1486512919,0.1545572652
124,0.1380618559,0.126665336,0.1492325628,0.1544721658
125,0.1383785745,0.1265967484,0.1496457214,0.1546705799
126,0.1385616563,0.1269063906,0.1495422957,0.1546178691
127,0.1385582087,0.1265670816,0.1495979097,0.1544751597
128,0.1384109631,0.1265307918,0.1500453622,0.1550324793
129,0.1385977646,0.1269122877,0.1502097547,0.1548598309
130,0.1381886885,0.1267014443,0.1504096204,0.1547194803
131,0.1382644433,0.1269553818,0.1505045181,0.1549919255
132,0.1378718791,0.1270524568,0.1505064233,0.1547717376
133,0.1379903651,0.1271112462,0.1504226847,0.1543407969
134,0.1380533278,0.1273145594,0.1507590906,0.1548943061
135,0.1381705436,0.127451281,0.1509843591,0.1552336152
136,0.1380413522,0.1274845769,0.1508005516,0.1556487698
137,0.1385915046,0.1275657751,0.1509623131,0.1555332777
138,0.1387853825,0.1273988424,0.1509385433,0.1555303745
139,0.1385913231,0.1276331833,0.1510299935,0.1551644832
140,0.138422848,0.1279529866,0.1511006677,0.155814251
141,0.1384987843,0.128220442,0.151378012,0.1552444114
142,0.1386099216,0.1281543947,0.1513228516,0.155743486
143,0.1382031137,0.1282404014,0.1515160945,0.1558020939
144,0.1384229387,0.1283492706,0.1515304289,0.1561468464
145,0.1387807556,0.1283689578,0.1517887211,0.1556342539
146,0.1388200392,0.1285402453,0.1518259181,0.1558586152
147,0.1391562636,0.1279272209,0.151677856,0.1559375454
148,0.1388262992,0.1280083285,0.1516849325,0.155737226
149,0.1390549245,0.1277171034,0.1517106075,0.155816882
150,0.1397149441,0.1275485375,0.1518146683,0.1559328277
151,0.1394514806,0.1278420308,0.1518132167,0.1559296523
152,0.1397437037,0.1279250435,0.1516382095,0.15608216
153,0.1393482363,0.128051604,0.1518103135,0.1561254355
154,0.1392966142,0.1285448723,0.1523308898,0.1559199448
155,0.1393221077,0.1285259109,0.1526259254,0.1561977428
156,0.1395005625,0.1286940231,0.1531424191,0.1564422449
157,0.1394220859,0.1287702315,0.1529372913,0.1559160437
