t,new.greedy.us
0,0.1090569204528975
1,0.10989875163303986
2,0.1107731528523749
3,0.11200990709827427
4,0.11277580200319522
5,0.11360103062853981
6,0.1143453331397897
7,0.11532443025112656
8,0.11568905138626959
9,0.11651074176223113
10,0.11666678763245908
11,0.11724207069240973
12,0.11743395267818413
13,0.11810268181158515
14,0.1189761757874888
15,0.11924344970242573
16,0.12012556249092902
17,0.12050342938017285
18,0.12104587022790106
19,0.12235502249963866
20,0.12250036289737413
21,0.1229045398461331
22,0.12279948105675871
23,0.12347456089418074
24,0.12400221367397457
25,0.1247283713165932
26,0.1248989330817261
27,0.12520630715633782
28,0.12578240673537686
29,0.12689015096530862
30,0.12753647118595035
31,0.12875190521120788
32,0.12919672666570048
33,0.1291205182174497
34,0.12961052039483392
35,0.13018852518507934
36,0.1300655029757601
37,0.1303375852808842
38,0.13178182609958067
39,0.13192036217157943
40,0.1324024713311091
41,0.13264951371752226
42,0.13239566700537247
43,0.13282415807809714
44,0.13316156191029338
45,0.13307301495137341
46,0.133721058934535
47,0.13398742560604024
48,0.13387420162578184
49,0.13357952895921202
50,0.1337393852518525
51,0.13368649295979257
52,0.13436955653941238
53,0.13460852445928467
54,0.13524241544491394
55,0.13524903832196428
56,0.13621897227464239
57,0.13685485919582102
58,0.1374702424154465
59,0.13767065248947766
60,0.13779612425606205
61,0.13819431339817262
62,0.13856437799390486
63,0.1384164973145611
64,0.13804479968065192
65,0.1385392473508508
66,0.13861218972274805
67,0.1387400203222544
68,0.139312944549283
69,0.1393614820728714
70,0.13915771519814363
71,0.1395618921469025
72,0.14002231818841787
73,0.14042939831615778
74,0.1403808607925695
75,0.14102500362897538
76,0.140974651618524
77,0.14127612861083044
78,0.14183580708375837
79,0.1417747496008145
80,0.141656807954712
81,0.14209174045580072
82,0.14215225359268557
83,0.14245799462912054
84,0.1426541406590232
85,0.14244992016257965
86,0.14274114530410956
87,0.1432504717665859
88,0.14307401291914812
89,0.14371153287850352
90,0.14389352591087395
91,0.14413231238205992
92,0.14408014588474533
93,0.14420806720859486
94,0.14427574756858902
95,0.14462104441864
96,0.14456842429960948
97,0.14489031426912627
98,0.14544609159529837
99,0.14586179053563803
100,0.14587648787922916
101,0.14615473943968793
102,0.14630597691972863
103,0.1464926876179431
104,0.14659085135723768
105,0.1464489584845421
106,0.14665617288430982
107,0.14654893671069974
108,0.1465634526056047
109,0.14677021338365664
110,0.1467009907098287
111,0.14698414138481786
112,0.14722011540136598
113,0.14745618014225725
114,0.14749328639860798
115,0.14750435476847304
116,0.14815884017999856
117,0.14773887719553072
118,0.14817008999854994
119,0.1485917767455379
120,0.14791941863841057
121,0.14806793438815652
122,0.14827868703730734
123,0.14865129191464801
124,0.14923256278124697
125,0.14964572143997823
126,0.1495422956887807
127,0.14959790971113524
128,0.15004536217157943
129,0.15020975468137762
130,0.15040962040934974
131,0.15050451807229068
132,0.15050642328349698
133,0.15042268471476422
134,0.1507590905791858
135,0.15098435912324146
136,0.1508005516040079
137,0.15096231310785466
138,0.15093854332994788
139,0.1510299934678489
140,0.15110066773116718
141,0.15137801204819423
142,0.1513228516475556
143,0.15151609449847733
144,0.1515304289446959
145,0.1517887211496604
146,0.15182591813035431
147,0.151677856002324
148,0.15168493250109016
149,0.15171060749020326
150,0.15181466831180296
151,0.15181321672231257
152,0.15163820946436496
153,0.15181031354333152
154,0.1523308898243591
155,0.15262592538830172
156,0.1531424190738874
157,0.1529372913340122
158,0.15319585571200617
159,0.1534326462476427
160,0.1538146864566715
161,0.1535111228044724
162,0.15346848236318916
163,0.1541975431847888
164,0.1541587131659182
165,0.15412133473653805
166,0.15445601683843954
167,0.15441936420380475
168,0.15467302946726819
169,0.15447497822615924
170,0.15423564740891432
171,0.1540579184206722
172,0.15392373711714483
173,0.15417531572071577
174,0.15418647481492395
175,0.15441582595442166
176,0.1544377812454653
177,0.1547551349978242
178,0.15481573885905223
179,0.15467094280737564
180,0.15549417549717104
181,0.15555949702424313
182,0.15554888227609381
183,0.15572280084192353
184,0.1560035926839906
185,0.15623620989984197
186,0.15581098490347095
187,0.1560700029031806
188,0.15621824647989707
189,0.15614584845405877
190,0.15608914573958643
191,0.15595605312817695
192,0.1568605748294399
193,0.15644868631151274
194,0.15683952678182783
195,0.15635714544926863
196,0.15657742415445083
197,0.15684106909566142
198,0.15703204383800423
199,0.157203694295255
200,0.157104714036872
201,0.1574166243286415
202,0.15756087603425914
203,0.15731410582087552
204,0.15753129989839038
205,0.15755407170852248
206,0.1577457722456106
207,0.1575708557120063
208,0.15804643271882876
209,0.15786208085353626
210,0.15749791334010907
211,0.15757403106401674
212,0.15770821236754418
213,0.1579008201480639
214,0.1580428037451026
215,0.15724696980694036
216,0.15762610683698822
217,0.15734168602119486
218,0.15783658731310948
219,0.15800696762955604
220,0.15800805632167386
221,0.15819903106401675
222,0.15850159674844122
223,0.15874927420525642
224,0.1588589599361317
225,0.1587535382493847
226,0.1588828204383816
227,0.15928609014370898
228,0.159118340833214
229,0.15945048265350725
230,0.1596555196690393
231,0.15937046378284386
232,0.15975513499782423
233,0.1601883437363931
234,0.15986200827406177
235,0.16065847728262617
236,0.16070393017854712
237,0.16112044563797526
238,0.1611798700827423
239,0.16122840760633048
240,0.16133791188851954
241,0.1617811910291786
242,0.16220251487879384
243,0.1621534330091467
244,0.16242905356365384
245,0.1622394396864583
246,0.1627620119030355
247,0.16299580853534784
248,0.1628012955436219
249,0.16302021338365683
250,0.16327242705762984
251,0.16320393017854726
252,0.16352137465524913
253,0.16359123239947904
