t,tabu.us
0,0.109000399187
1,0.112194894034
2,0.114061728843
3,0.116406953114
4,0.1183735847
5,0.119075065321
6,0.121134417187
7,0.121478897518
8,0.121998748004
9,0.123058861954
10,0.124306230948
11,0.124238550588
12,0.1261981964
13,0.126621879083
14,0.127220115402
15,0.127193714618
16,0.128727500363
17,0.129699883873
18,0.129998548411
19,0.130532188997
20,0.131651545943
21,0.132654957178
22,0.132547085934
23,0.133031281753
24,0.133938615909
25,0.135127649151
26,0.135572652054
27,0.136027634635
28,0.136935513137
29,0.136898043983
30,0.137593536798
31,0.137930033387
32,0.138711260706
33,0.138506042241
34,0.139190013064
35,0.13924925606
36,0.138966377558
37,0.139189740891
38,0.139696708521
39,0.140318714618
40,0.140646048047
41,0.14053935622
42,0.14059805487
43,0.141106836987
44,0.141028723327
45,0.141307156336
46,0.141722946001
47,0.141760596603
48,0.141588311076
49,0.142913703005
50,0.142996806503
51,0.143131985774
52,0.142653414864
53,0.143398806068
54,0.143511667151
55,0.143679416461
56,0.143675333865
57,0.144068623893
58,0.14423274423
59,0.144317662215
60,0.144920344027
61,0.144956815213
62,0.146003683408
63,0.146473998403
64,0.14663394542
65,0.146623239948
66,0.147025783858
67,0.147232181739
68,0.146936964726
69,0.146998838729
70,0.147451462476
71,0.147605512411
72,0.14805251125
73,0.147788775584
74,0.148200301205
75,0.149102373349
76,0.149168511395
77,0.149311765133
78,0.149579583394
79,0.14950972565
80,0.149880334591
81,0.149696164175
82,0.149768017855
83,0.150060876034
84,0.150141711424
85,0.150095442009
86,0.150662196981
87,0.15049653433
88,0.150604224125
89,0.150958684134
90,0.150717720279
91,0.150987262302
92,0.151230947888
93,0.150905882566
94,0.150980276528
95,0.151278668893
96,0.151233941791
97,0.151631132966
98,0.151318769052
99,0.151053491073
100,0.151584409929
101,0.151810222819
102,0.151952660038
103,0.151983506314
104,0.151748983887
105,0.152151255625
106,0.151856764407
107,0.151860847002
108,0.152053091886
109,0.152250508056
110,0.152129663231
111,0.152158332124
112,0.152601339091
113,0.153056866018
114,0.152733978081
115,0.152970405719
116,0.153273787923
117,0.153435095805
118,0.153729224126
119,0.153134435332
120,0.153754536217
121,0.154085407897
122,0.154120790391
123,0.154557265205
124,0.154472165771
125,0.15467057991
126,0.154617869067
127,0.154475159675
128,0.155032479315
129,0.15485983089
130,0.154719480331
131,0.154991925533
132,0.154771737553
133,0.154340796922
134,0.15489430614
135,0.155233615184
136,0.155648769778
137,0.155533277689
138,0.15553037451
139,0.155164483234
140,0.15581425098
141,0.15524441138
142,0.155743485992
143,0.155802093918
144,0.156146846422
145,0.155634253883
146,0.155858615183
147,0.155937545362
148,0.155737226013
149,0.155816881986
150,0.155932827696
151,0.155929652344
152,0.156082159965
153,0.156125435477
154,0.15591994484
155,0.156197742778
156,0.156442244883
157,0.155916043693
158,0.156265513863
159,0.155938724778
160,0.15646891784
161,0.156424825809
162,0.156540862244
163,0.156550932646
164,0.156343718247
165,0.156403142691
166,0.156195202497
167,0.156381913195
168,0.15602064886
169,0.15653596313
170,0.156319676295
171,0.156224143562
172,0.155648497605
173,0.15619338801
174,0.156131695457
175,0.156432991
176,0.157250417332
177,0.15647163957
178,0.156549662505
179,0.156813307447
180,0.157077043112
181,0.156690829583
182,0.156524078241
183,0.157033313979
184,0.157570492815
185,0.157573486718
186,0.157429416461
187,0.157673827841
188,0.156985683699
189,0.157326262883
190,0.157364457831
191,0.157159602265
192,0.157443297286
193,0.157029503556
194,0.157687980839
195,0.158219806939
196,0.15757666207
197,0.157739875163
198,0.15796205908
199,0.158080998694
200,0.157689704602
201,0.158346730295
202,0.15790816882
203,0.157737153433
204,0.157551259254
205,0.157877503992
206,0.15772853462
207,0.157685894179
208,0.157663213093
209,0.157817353753
210,0.157931666425
211,0.158009780084
212,0.158202569314
213,0.158228879373
214,0.158284765568
215,0.158066664247
216,0.158009417187
217,0.158355258383
218,0.158442172304
219,0.157905084192
220,0.158313888082
221,0.158263808245
222,0.158080907969
223,0.158347002468
224,0.158356982146
225,0.158380933372
226,0.158666261431
227,0.158606383365
228,0.15873412324
229,0.158610647409
230,0.15875417332
231,0.159083411961
232,0.158874110901
233,0.15853734214
234,0.158737298592
235,0.158637138917
236,0.158705182175
237,0.158587421977
238,0.158670344027
239,0.158480367252
240,0.158109939759
241,0.158641221513
242,0.158638136885
243,0.158710444186
244,0.158556394252
245,0.15891294092
246,0.158871207723
247,0.158653106401
248,0.158878374946
249,0.158763608651
250,0.159053563652
251,0.158841177965
252,0.158803073741
253,0.158891348527
254,0.158789374365
255,0.158858687763
256,0.158509399042
257,0.158276509653
258,0.158764878792
259,0.159002848744
260,0.158725050806
261,0.158743649296
262,0.158754626942
263,0.158828567281
264,0.15870781318
265,0.158804616054
266,0.158744012193
267,0.159057011177
268,0.158926458847
269,0.159579039048
270,0.158903596313
271,0.15906354333
272,0.159124963711
273,0.159327097547
274,0.158493431558
275,0.15864784439
276,0.158783477283
277,0.158671069821
278,0.158344099289
279,0.15878592684
280,0.159003302366
281,0.158772408913
282,0.158749637103
283,0.159239185658
284,0.158757711569
285,0.15892546088
286,0.158846349252
287,0.158723780665
288,0.15875063507
289,0.158254735811
290,0.159051749165
291,0.158674698795
292,0.157962512701
293,0.158435095805
294,0.157749219771
295,0.158188144143
296,0.158355802729
297,0.157989548556
298,0.158222891566
299,0.158476738279
300,0.158697289157
301,0.158681503121
302,0.158563017129
303,0.158087893744
304,0.158446708521
305,0.15863196763
306,0.158206107563
307,0.158848254464
308,0.158784928872
309,0.158137882857
