t,greedy.us
0,0.10896782914791854
1,0.10964000580635949
2,0.11069649078240833
3,0.11183381114820887
4,0.11307891203367841
5,0.11352346131514171
6,0.11429806575700552
7,0.11509163158658886
8,0.11596793801713032
9,0.11616562636086676
10,0.11714263681231105
11,0.11735865147336488
12,0.11747586732472207
13,0.11816945492814786
14,0.11878247931485135
15,0.11965796922630442
16,0.12000961678037614
17,0.12046804688634209
18,0.12075899985484269
19,0.12111817752939624
20,0.12115174553636388
21,0.12190203585426196
22,0.12255534184932652
23,0.12249047394397017
24,0.12347501451589638
25,0.12379726738278567
26,0.12443351720133695
27,0.1249652525765728
28,0.12479532588184213
29,0.12479750326607779
30,0.12481582958339532
31,0.12534248439541446
32,0.1256162904630585
33,0.12621162360284655
34,0.1267385505878952
35,0.12734504282189146
36,0.12755443460589486
37,0.12785509507911322
38,0.12812109885324588
39,0.12823958484540723
40,0.12831797067789386
41,0.12878356800696922
42,0.12872251052402545
43,0.12883373856873437
44,0.12905592248512285
45,0.12914093119465975
46,0.12926150384671373
47,0.129424716940051
48,0.1298562019160997
49,0.1299228843083192
50,0.13025157860357256
51,0.13017419073886055
52,0.13041279576136025
53,0.1305983270431138
54,0.13080699303237203
55,0.130950246770215
56,0.13110348018580506
57,0.13065475758455675
58,0.13124246987951974
59,0.1312032769632764
60,0.13137583466395866
61,0.13216912832051264
62,0.1321343808970839
63,0.1319941210625652
64,0.1322797212948194
65,0.13218128538249543
66,0.13246888155029912
67,0.13260015967484562
68,0.13285672811729
69,0.13283159747423592
70,0.13284947016983764
71,0.13308916388445513
72,0.1331372477863277
73,0.13354523515749916
74,0.1338012592538847
75,0.13385487734068977
76,0.13382194440412418
77,0.13372441573523175
78,0.13405447089563235
79,0.13384235738133418
80,0.13435830672086096
81,0.13439178400348545
82,0.13465688053418656
83,0.13464200174190905
84,0.134809751052404
85,0.13446998838728566
86,0.13485638336478606
87,0.134596548845988
88,0.13493821672231254
89,0.13512093554942825
90,0.13519387792132542
91,0.1356058571635958
92,0.135763263898971
93,0.13572398025838453
94,0.13541805777326335
95,0.1357462077224577
96,0.13580889824357834
97,0.13604178763245917
98,0.13656073087531
99,0.13647535926840046
100,0.13643244665408785
101,0.13660963129627104
102,0.1365421323849631
103,0.13649513717520834
104,0.13669663594135734
105,0.1372854369284382
106,0.13751805414428958
107,0.13775493540426925
108,0.1377343409783729
109,0.13785128465670066
110,0.13762329438235024
111,0.13783758528088413
112,0.13811393163013658
113,0.13800361082885915
114,0.13776509653070276
115,0.1376170344026725
116,0.1382624473798825
117,0.13829619683553646
118,0.13792812817535355
119,0.13799145376687633
120,0.13860592974307018
121,0.13795607127304554
122,0.1380076934243011
123,0.13816029176948913
124,0.13806185585716518
125,0.13837857453912195
126,0.1385616562636102
127,0.13855820873857033
128,0.13841096312962858
129,0.13859776455218623
130,0.13818868848889693
131,0.13826444331543197
132,0.13787187908259696
133,0.13799036507475843
134,0.1380533277689085
135,0.1381705436202657
136,0.13804135215561195
137,0.13859150457250852
138,0.1387853824938323
139,0.13859132312382216
140,0.13842284801858185
141,0.1384987842938033
142,0.13860992161416902
143,0.1382031136594586
144,0.13842293874292505
145,0.13878075555233133
146,0.13882003919291777
147,0.13915626360865305
148,0.13882629917259556
149,0.13905492451734808
150,0.13971494411380617
151,0.13945148062128185
152,0.13974370373058648
153,0.13934823631877058
154,0.13929661416751493
155,0.13932210770794176
156,0.13950056249092907
157,0.13942208593409938
158,0.13923963928001323
159,0.13954556176513444
160,0.13943542241254328
161,0.13909602264479756
162,0.13900303019306293
163,0.1389272753665279
164,0.13903487443751056
165,0.13941782188997104
166,0.1390460335317188
167,0.13943333575265066
168,0.13946971621425605
169,0.1397555886195399
170,0.13941383001887214
171,0.13911598200029185
172,0.1389560349833082
173,0.1392408186964742
174,0.13935857889389042
175,0.13954556176513438
176,0.1393902416896517
177,0.13952052184642333
178,0.1396393707359574
179,0.13964789882421408
180,0.1397881586587328
181,0.1399530047902468
182,0.14008174263318485
183,0.14009462548991297
184,0.1401865292495297
185,0.13987824793148645
186,0.13972900638699529
187,0.13988641312237052
188,0.1399476520540006
189,0.13973454057192775
190,0.13975105240238211
191,0.1398982072869807
192,0.13936111917549868
193,0.13977010451444477
194,0.13993812599796926
195,0.13962186093772833
196,0.13973798809696764
197,0.13964626578603725
198,0.1400030846276688
199,0.13993204746697782
200,0.13970469226302956
201,0.14002249963710417
202,0.140553690666281
203,0.14014152997532442
204,0.14019687182464943
205,0.14074230657570191
206,0.1405457069240833
207,0.14022000653215425
208,0.14040163666715205
209,0.14039138481637542
210,0.14049608070837713
211,0.14033912759471767
212,0.14041170706924228
213,0.14041143489621283
