t,R,r
0,0.3160574444444428,-0.0723854163057
1,0.31549477777777624,-0.0722420123137
2,0.315948555555554,-0.0721372179076
3,0.3163812222222209,-0.0720379755054
4,0.3163627777777764,-0.0713744910271
5,0.3160341111111096,-0.071021842001
6,0.31632033333333187,-0.0703650708633
7,0.3159714444444429,-0.0705632893325
8,0.3158885555555541,-0.070160079656
9,0.3166738888888875,-0.0689931296314
10,0.3161376666666652,-0.0684058406398
11,0.3165666666666652,-0.0673695023052
12,0.3164642222222208,-0.0666583662982
13,0.31650666666666505,-0.0660185072786
14,0.3166183333333318,-0.0660694855632
15,0.31640822222222076,-0.065822747396
16,0.3166882222222206,-0.0656202638049
17,0.3167641111111097,-0.0652208757812
18,0.3168951111111095,-0.0650885234256
19,0.3167868888888875,-0.064633295775
20,0.31719977777777625,-0.0645573066427
21,0.3170452222222208,-0.0643514611915
22,0.3173024444444431,-0.0635777336688
23,0.3170293333333321,-0.0634452070092
24,0.317519555555554,-0.0630436868432
25,0.31779044444444304,-0.0615242518592
26,0.3175854444444429,-0.0615529888908
27,0.31782388888888735,-0.061007022226
28,0.3181768888888875,-0.0605926862035
29,0.3186742222222208,-0.0602970843295
30,0.318903444444443,-0.0598215858675
31,0.3180779999999985,-0.0597195900271
32,0.3185108888888875,-0.0593192868684
33,0.31803288888888737,-0.0591533009258
34,0.3182987777777763,-0.0585517308351
35,0.3184393333333319,-0.0579082573737
36,0.3188242222222208,-0.0573636920475
37,0.3186768888888874,-0.0571785867341
38,0.3187517777777762,-0.0570374496769
39,0.3189961111111094,-0.0561113482553
40,0.31930522222222085,-0.0554392910286
41,0.3194756666666653,-0.0555843819755
42,0.3195138888888875,-0.0543615315492
43,0.3192475555555542,-0.053245778319
44,0.319687333333332,-0.0526755742529
45,0.31959655555555416,-0.0525091583761
46,0.31980877777777633,-0.0524393218948
47,0.3201571111111097,-0.0518408152547
48,0.3203104444444432,-0.0515999973793
49,0.32032511111110984,-0.0508256981065
50,0.32060422222222085,-0.0500797632086
51,0.3207344444444428,-0.0498156251921
52,0.320517444444443,-0.0495488584229
53,0.320826444444443,-0.0494214744953
54,0.32060799999999856,-0.0493055594124
55,0.3210613333333319,-0.048746868023
56,0.3206725555555541,-0.0486054362178
57,0.32092466666666525,-0.0478080448592
58,0.3210223333333317,-0.047040203153
59,0.32034744444444296,-0.0466989965335
60,0.32070555555555413,-0.0461871552411
61,0.32116033333333205,-0.0460101941587
62,0.3208639999999986,-0.0458499449442
63,0.320718444444443,-0.0455914526894
64,0.3206638888888874,-0.0451085596081
65,0.3209161111111096,-0.0445329030648
66,0.32091766666666516,-0.0443743304125
67,0.32093744444444283,-0.0444757971845
68,0.320591444444443,-0.0440935956127
69,0.3208693333333318,-0.0444197797824
70,0.3207008888888875,-0.0438680395463
71,0.32097966666666505,-0.0437735496281
72,0.32102022222222065,-0.0436813246276
73,0.32103644444444296,-0.0439586280192
74,0.3203898888888873,-0.0436984796973
75,0.32063777777777613,-0.0441191196053
76,0.3209943333333318,-0.0438280210867
77,0.32091944444444287,-0.0432787742263
78,0.3212013333333319,-0.0431571158028
79,0.32065544444444294,-0.0427653882646
80,0.32112855555555414,-0.0424349643914
81,0.3214381111111096,-0.0417981813645
82,0.3210557777777764,-0.0415304593015
83,0.32124211111110956,-0.0411115523874
84,0.3212346666666651,-0.0407329258444
85,0.32168388888888744,-0.0399105246749
86,0.32214655555555394,-0.0390828669457
87,0.32188877777777625,-0.0385941841738
88,0.3215481111111097,-0.0382190041585
89,0.32209944444444294,-0.0374152495956
90,0.32183211111110976,-0.0371221496426
91,0.3216507777777764,-0.0366551702546
92,0.3223605555555542,-0.0364583236276
93,0.3222055555555541,-0.0365045474337
94,0.32221688888888733,-0.0364022419241
95,0.32258644444444295,-0.0366600756477
96,0.3219649999999985,-0.0364452956716
97,0.3223899999999986,-0.0361284787214
98,0.32281322222222064,-0.0352083144114
99,0.3230407777777763,-0.0348559103851
100,0.32283633333333184,-0.0346318376896
101,0.32295622222222076,-0.0339453969099
102,0.3227232222222207,-0.033344245653
103,0.3232736666666652,-0.0329966239844
104,0.3232906666666654,-0.0326250172827
105,0.32277688888888745,-0.0327796945915
106,0.3228913333333318,-0.032288222648
107,0.32279799999999853,-0.0322974556697
108,0.3230235555555539,-0.0322808662083
109,0.3234473333333318,-0.0319704167309
110,0.3233563333333317,-0.031663001738
111,0.3236339999999984,-0.0317276093387
112,0.32375355555555424,-0.0320264035097
113,0.32341855555555404,-0.0314627442195
114,0.32347766666666516,-0.0305165675107
115,0.3232677777777762,-0.0302907635008
116,0.3237245555555541,-0.0302595999306
117,0.3237323333333316,-0.0297332792096
118,0.32343711111110973,-0.029759747482
119,0.3239372222222207,-0.0294788779928
120,0.3233092222222207,-0.0283054524767
121,0.3239641111111096,-0.0280791254869
122,0.3241053333333317,-0.0277094730095
123,0.3234109999999985,-0.0276235156425
124,0.3236563333333318,-0.0273077226275
125,0.324018444444443,-0.0260973088289
126,0.32373177777777606,-0.0262115844459
127,0.32359866666666526,-0.0258209305261
128,0.32400633333333173,-0.0263862612353
129,0.32442788888888746,-0.0260792924259
130,0.3237878888888872,-0.0243890846461
131,0.32427699999999826,-0.023478203293
132,0.32428588888888743,-0.0233146932319
133,0.32373211111110956,-0.0230530322609
134,0.3240213333333318,-0.0230236250787
135,0.3240313333333319,-0.0222464903644
136,0.3246452222222206,-0.0221109160313
137,0.3246196666666653,-0.0221057340127
138,0.3243617777777762,-0.0222321974622
139,0.3244642222222206,-0.0220174027073
140,0.32478644444444293,-0.0220542229752
141,0.32469999999999855,-0.0216508390745
142,0.32442755555555414,-0.0214884954237
143,0.32461677777777653,-0.0211696990275
144,0.32500899999999855,-0.0212864793112
145,0.3248595555555542,-0.0203957919388
146,0.324786555555554,-0.0199253604753
147,0.32504855555555406,-0.0201127685562
148,0.32475722222222075,-0.0196731370363
149,0.32482011111110964,-0.019142207719
150,0.32511944444444296,-0.0186053652078
151,0.3250152222222208,-0.0182688073787
152,0.325218555555554,-0.0188630398795
153,0.32547977777777615,-0.0187482622487
154,0.32547755555555435,-0.0186120382979
155,0.32550211111110966,-0.0185161019907
156,0.3254909999999984,-0.0183511659516
157,0.32599922222222055,-0.0175924088743
158,0.32543577777777627,-0.0175131171659
159,0.3260227777777762,-0.0175030725145
160,0.3263898888888875,-0.0171770584807
161,0.3257297777777763,-0.0174545459219
162,0.325742555555554,-0.0173298683391
163,0.32623566666666526,-0.0168305346133
164,0.3254915555555543,-0.0168921342794
165,0.3257197777777764,-0.0167596634745
166,0.3261606666666653,-0.0167556986135
167,0.3255535555555541,-0.0163029962414
168,0.32589344444444285,-0.0165478723853
169,0.32624655555555393,-0.016204711513
170,0.32651522222222085,-0.0160754549153
171,0.3270301111111097,-0.0157389953563
172,0.326605555555554,-0.0158590804761
173,0.3269692222222207,-0.0156422695978
174,0.3268413333333318,-0.015220678685
175,0.3270863333333319,-0.0154142634516
176,0.32721677777777636,-0.0155391412038
177,0.32702399999999854,-0.0157674883053
178,0.32671477777777624,-0.0156801866816
179,0.32708699999999863,-0.015672843377
180,0.3272893333333319,-0.0158753684684
181,0.3270484444444429,-0.016236417864
182,0.3267073333333318,-0.0162275917283
183,0.3271356666666652,-0.015683642889
184,0.32702555555555407,-0.0155313356155
185,0.32712055555555414,-0.0156394439616
186,0.32737599999999856,-0.0152277476894
187,0.3278328888888874,-0.0149600659859
188,0.32754333333333185,-0.0146582469287
189,0.3277643333333319,-0.0139137922998
190,0.32749522222222077,-0.013244517568
191,0.3277403333333318,-0.0127538265288
192,0.32774999999999854,-0.0124515843456
193,0.32806822222222076,-0.012813416787
194,0.32787911111110973,-0.0125498750438
195,0.3275236666666653,-0.0123636411853
196,0.3281293333333319,-0.0119910319221
197,0.32796922222222075,-0.0121249763694
198,0.32828588888888743,-0.0117456495967
199,0.3286564444444431,-0.0114071805758
200,0.3287089999999986,-0.0114880450814
201,0.32867399999999847,-0.0112456848107
202,0.32863088888888753,-0.0113324450568
203,0.32936377777777637,-0.0113725465108
204,0.32830055555555415,-0.0115663333467
205,0.3287248888888876,-0.0114295202672
206,0.3284063333333318,-0.0115482795829
207,0.32910077777777635,-0.0117023687921
208,0.32910655555555435,-0.0116651997544
209,0.32954699999999854,-0.0117338737007
210,0.32927911111110963,-0.0107285399849
211,0.32894022222222064,-0.0104719295378
212,0.3289772222222208,-0.0102084860349
213,0.32918077777777627,-0.00999883052931
214,0.32908388888888745,-0.00922039504936
215,0.3293847777777762,-0.00910924791052
216,0.32973644444444294,-0.00869728349986
217,0.32954466666666515,-0.0084009360424
218,0.3292952222222208,-0.00850484509933
219,0.32916233333333195,-0.00855536565337
220,0.32948644444444275,-0.00889133451883
221,0.3289765555555542,-0.00906998533605
222,0.32890433333333197,-0.00890005074798
223,0.3291956666666652,-0.00876527135201
224,0.32956933333333205,-0.00850696714174
225,0.3290439999999985,-0.00781670575155
226,0.3297816666666653,-0.00737934721173
227,0.3296667777777763,-0.00699055876365
228,0.32988933333333204,-0.00642767538602
229,0.32980722222222075,-0.0059668676236
230,0.33001733333333194,-0.00568181104102
231,0.3298663333333318,-0.00566659824279
232,0.32979577777777636,-0.00552568428768
233,0.3302515555555542,-0.00528519241275
234,0.33057444444444306,-0.00502908223645
235,0.33055844444444304,-0.00541841387164
236,0.3303718888888875,-0.00512797612836
237,0.33041366666666544,-0.00508479105247
238,0.33037599999999856,-0.0051410214609
239,0.3305362222222207,-0.0051176825039
240,0.3305833333333319,-0.0045436429291
241,0.3304549999999987,-0.00459647903532
242,0.33098955555555426,-0.00442262825551
243,0.33050333333333193,-0.00467108307281
244,0.3308082222222209,-0.00451605316845
245,0.33099466666666527,-0.00429428560023
246,0.3305337777777765,-0.00390096917877
247,0.3311321111111097,-0.00220693887506
248,0.3311922222222209,-0.00170700965773
249,0.3313054444444431,-0.00119233383658
250,0.33073911111110965,-0.000923453130108
251,0.33074477777777644,-0.00062964088975
252,0.3312189999999987,-0.000274919445583
253,0.33152322222222075,-6.22396226996e-05
254,0.33142722222222076,0.000359727096612
255,0.33146955555555424,0.000870997888906
256,0.33198199999999856,0.00163845267063
257,0.331128444444443,0.00173164827971
258,0.33134522222222074,0.0014361866524
259,0.33192122222222087,0.00152705832572
260,0.33163266666666524,0.0015720221341
261,0.33183166666666536,0.00172187383162
262,0.3318049999999987,0.00206985305779
263,0.33189499999999866,0.00208595450573
264,0.33139911111110976,0.0015704962165
265,0.33204766666666513,0.00175057850969
266,0.33203199999999855,0.00217456485197
267,0.3317298888888873,0.00224732942688
268,0.33196511111110977,0.00253957008107
269,0.33249199999999857,0.00244896476848
270,0.3314689999999984,0.00210599194807
271,0.3320381111111096,0.00223807129485
272,0.3322638888888873,0.00231169370045
273,0.3319113333333317,0.00327049887227
274,0.3321418888888874,0.0034573282385
275,0.33214099999999863,0.00351772377557
276,0.3319652222222208,0.00333949809517
277,0.33235766666666516,0.00348144372912
278,0.3323673333333319,0.00422407455681
279,0.33232988888888737,0.00479408149838
280,0.3324074444444432,0.00487026274687
281,0.33233933333333177,0.00505817555714
282,0.33292866666666504,0.00499302489251
283,0.3330054444444429,0.00543922735263
284,0.3328783333333319,0.00525786146366
285,0.33266077777777625,0.0059668696664
286,0.3329172222222208,0.00565007189031
287,0.33292666666666526,0.00574851927455
288,0.33333955555555406,0.00631480669099
289,0.33352411111110963,0.00683227803018
290,0.33347788888888746,0.00672276736827
291,0.33354866666666516,0.0062911516126
292,0.33381755555555404,0.0067281651959
293,0.3340083333333318,0.00705509898582
294,0.3335438888888874,0.00761539634541
295,0.33405111111110986,0.00795590992809
296,0.3341659999999985,0.00784531442885
297,0.3339761111111096,0.00803144136569
298,0.33429688888888753,0.00870750959692
299,0.33388433333333173,0.0087213545252
300,0.33438055555555396,0.00934195968991
301,0.3339855555555542,0.00998065467299
302,0.3336143333333318,0.00986496273377
303,0.33426733333333186,0.010477208676
304,0.3346328888888874,0.0111068163864
305,0.3349429999999986,0.0114156602612
306,0.3352672222222209,0.0116784206038
307,0.3350635555555541,0.0117514563022
308,0.33501588888888756,0.012025685864
309,0.3354024444444429,0.0126964527887
310,0.3351943333333319,0.0128838495055
311,0.33559899999999854,0.0131641485599
312,0.33522922222222074,0.0134419479833
313,0.3353197777777764,0.013563203327
314,0.3351807777777762,0.0137477759012
315,0.3356969999999986,0.0142338722956
316,0.3353509999999985,0.01439853368
317,0.33541688888888754,0.0154213379053
318,0.3356878888888874,0.0154799305607
319,0.3359203333333318,0.0159235355713
320,0.33570044444444314,0.0155454905349
321,0.335820444444443,0.0158020600177
322,0.3355065555555539,0.0159369900334
323,0.33582177777777644,0.0165275909521
324,0.33574799999999855,0.0166089363144
325,0.3362683333333319,0.0172111743377
326,0.3356884444444429,0.0169435501886
327,0.33638422222222064,0.0181002472007
328,0.3355748888888874,0.0182204643345
329,0.3355373333333317,0.0183896249283
330,0.33592444444444314,0.0185146201027
331,0.33560188888888737,0.0189179750269
332,0.3363649999999986,0.0187880497219
333,0.33597511111110967,0.0188589847232
334,0.33579977777777636,0.018808363527
335,0.33572688888888724,0.0187384279584
336,0.3356717777777765,0.0187366713446
337,0.3363077777777763,0.0189418628818
338,0.3356621111111098,0.0196186514026
339,0.33624633333333176,0.0196574896544
340,0.3362112222222206,0.0200747176432
341,0.33617755555555384,0.020417063367
342,0.3361136666666653,0.0212078176057
343,0.3369137777777763,0.021045203745
344,0.336679555555554,0.0211341453079
345,0.3368361111111098,0.0211867076592
346,0.33637344444444295,0.0206287542385
347,0.3366912222222207,0.0209662880687
348,0.33669577777777615,0.0212058338231
349,0.3365811111111098,0.0216776606737
350,0.3363982222222209,0.0216362033849
351,0.3368435555555541,0.0224715683247
352,0.3371396666666651,0.0223776389965
353,0.3367988888888874,0.0223893741055
354,0.3365002222222208,0.0226624106114
355,0.33676566666666513,0.0226749063402
356,0.3371545555555541,0.0227969239686
357,0.33716633333333196,0.0235791477738
358,0.3370413333333317,0.0235702216453
359,0.3369793333333319,0.0242340421506
360,0.3378184444444429,0.0244621467819
361,0.33753377777777627,0.0243072100719
362,0.33754866666666516,0.0242080434261
363,0.3376038888888873,0.0246381056508
364,0.33761455555555403,0.0242700923434
365,0.3375646666666653,0.024774533341
366,0.337931555555554,0.0245445397839
367,0.337875444444443,0.0247163795818
368,0.3375048888888873,0.0251736569797
369,0.3379576666666651,0.025718495163
370,0.3377974444444428,0.0261848894122
371,0.33799377777777634,0.0262887001581
372,0.33848788888888737,0.0265250342382
373,0.33821311111110963,0.027252163434
374,0.33828566666666515,0.0270264487785
375,0.3381132222222206,0.0273987438057
376,0.3380386666666651,0.0276292638991
377,0.3381466666666652,0.0274158262566
378,0.3379673333333319,0.027754586658
379,0.338440666666665,0.0281188828134
380,0.3388908888888875,0.0281713375616
381,0.33814988888888753,0.0283504245565
382,0.33856633333333197,0.0283012505805
383,0.3388845555555542,0.0280956058324
384,0.33923488888888753,0.0280593494594
385,0.3386597777777763,0.0277118838511
386,0.33873155555555395,0.027783462209
387,0.33922211111110956,0.0282015385636
388,0.3385732222222208,0.0283100739032
389,0.33924655555555405,0.0278690742067
390,0.3394788888888875,0.0280188495317
391,0.3391526666666652,0.0280102615687
392,0.339218555555554,0.0278632175757
393,0.33965477777777636,0.0277698975332
394,0.3395062222222207,0.0282526642306
395,0.3401205555555541,0.0282525855494
396,0.3396149999999984,0.0281508296425
397,0.33953588888888736,0.0281947959465
398,0.33973766666666505,0.028072690549
399,0.3400099999999984,0.0282031058284
400,0.33971355555555405,0.0285624844374
401,0.33992533333333175,0.0284154763591
402,0.33967911111110966,0.0283575099876
