t,R,r
0,0.10733361155465324,-0.207876230812
1,0.10742052547539642,-0.207919459784
2,0.1076849869356955,-0.207993001756
3,0.10792186819567513,-0.208116964976
4,0.10779839236464014,-0.208103295885
5,0.10794663594135667,-0.208058560676
6,0.10804434605893534,-0.208257270857
7,0.10804035418783657,-0.208324448981
8,0.10810395195238871,-0.208330624548
9,0.1087442843663821,-0.208383116872
10,0.10885251850776685,-0.208416367031
11,0.10911643562200694,-0.208246011743
12,0.10918475105240326,-0.208218598248
13,0.10956252721730382,-0.208235694026
14,0.10941609812745039,-0.208745554902
15,0.1095500072579483,-0.208365719847
16,0.11017654957178195,-0.208403225122
17,0.11016402961242644,-0.208537054188
18,0.11027924952823424,-0.20884530538
19,0.11038131441428459,-0.208835966717
20,0.1103442081579338,-0.208956804497
21,0.11070048265350643,-0.208824255732
22,0.11083910944984836,-0.208878066012
23,0.11075827406009661,-0.209120005165
24,0.1108248657279729,-0.209228604778
25,0.11083811148207379,-0.209361869006
26,0.11098444984758389,-0.209355015632
27,0.11106954928146409,-0.209301732535
28,0.11094879518072367,-0.209467456147
29,0.1111106474089136,-0.209427879797
30,0.11141330381768119,-0.209427879797
31,0.11143897880679421,-0.209468171609
32,0.11151700174190818,-0.209487413774
33,0.1114605712004654,-0.209508011551
34,0.11182691609812831,-0.209554252995
35,0.11197216577152072,-0.209635589737
36,0.11224560894179207,-0.209720202543
37,0.11219180940630076,-0.209770209577
38,0.11247777253592764,-0.210003111314
39,0.1130311003048347,-0.210103087727
40,0.11326208448250925,-0.210215980113
41,0.11282796850050895,-0.210346005933
42,0.11312781245463874,-0.210251339002
43,0.11305468863405513,-0.210343934858
44,0.11304416461024917,-0.210557933334
45,0.11325101611264418,-0.210376205964
46,0.11343527725359352,-0.210444438454
47,0.11332051095950144,-0.210604400714
48,0.11337694150094432,-0.210550703401
49,0.1138788285672819,-0.210475278635
50,0.11411670779503635,-0.210451931978
51,0.1142300224996379,-0.21072380757
52,0.11435984903469368,-0.210681632963
53,0.11423519378719768,-0.210621458836
54,0.1149118159384533,-0.210699632483
55,0.11498330672086006,-0.210731301094
56,0.1150915408622449,-0.210682009522
57,0.11517328349542821,-0.210708594587
58,0.11516402961242633,-0.21063124937
59,0.11499246987951883,-0.210887083549
60,0.11524813107853168,-0.210719740733
61,0.11526282842212299,-0.210407460361
62,0.11530773697198507,-0.210478855946
63,0.11541978153578233,-0.210489173662
64,0.11558744012193427,-0.21038836882
65,0.11575128828567353,-0.210444589077
66,0.11578032007548336,-0.210483638245
67,0.11571164174771446,-0.210549197165
68,0.11564731818841714,-0.21062665535
69,0.11585063144142893,-0.21044888185
70,0.1163352808825672,-0.21051380062
71,0.11648152852373414,-0.21057284507
72,0.1165785128465677,-0.210483148718
73,0.11722102264479681,-0.210468124014
74,0.11758464581216502,-0.210349696211
75,0.11788757439396216,-0.210211197814
76,0.11799227028596389,-0.210093636096
77,0.11818306357962045,-0.210024688145
78,0.1182953803164473,-0.209964626985
79,0.11835054071708598,-0.210013278407
80,0.11880969661779721,-0.20979626746
81,0.1185031390622739,-0.209956417999
82,0.11857208956307233,-0.209936498028
83,0.11860402453186307,-0.210022240511
84,0.11884045217012698,-0.210019755222
85,0.11900674989113151,-0.210200089323
86,0.11936447597619462,-0.210251000099
87,0.1196762048192778,-0.209970877864
88,0.11940629989838947,-0.210088100679
89,0.1194265314269132,-0.210022692382
90,0.11930877122949704,-0.210173466603
91,0.1197024241544499,-0.210042009858
92,0.11919663594135654,-0.210152718202
93,0.119258600667732,-0.210151852116
94,0.11961442154158879,-0.210122028644
95,0.11959555087821241,-0.210230967161
96,0.1198930359994201,-0.210033612593
97,0.1201773660908703,-0.21015806534
98,0.1200092538830027,-0.210241171909
99,0.12014225577006903,-0.210083205412
100,0.12028079184206789,-0.210105422393
101,0.120835934097838,-0.210281539033
102,0.12053899332268911,-0.210217900564
103,0.12064441500943612,-0.21031407373
104,0.12087748584700324,-0.210462663909
