step,R,r
0,0.109106002323,-0.207876230812
1,0.111013028016,-0.207557285345
2,0.110816156191,-0.208833067212
3,0.110939541298,-0.209117745811
4,0.111011213529,-0.210958366167
5,0.115440375962,-0.210352106189
6,0.11782188997,-0.20977597093
7,0.118014225577,-0.209550788652
8,0.118558571636,-0.209154272033
9,0.119393235593,-0.208368016856
10,0.120988169546,-0.207703766793
11,0.120720532733,-0.20709185843
12,0.121071635941,-0.206677643538
13,0.120363078821,-0.205660557699
14,0.12111609087,-0.204894260149
15,0.121546124256,-0.206199037059
16,0.121805595877,-0.206018288742
17,0.121729387429,-0.205408263174
18,0.122916061838,-0.205408263174
19,0.124594462186,-0.204725561721
20,0.123640042096,-0.206132009558
21,0.124279648715,-0.205593530199
22,0.125195964581,-0.205427844242
23,0.124823087531,-0.205253873987
24,0.126852591087,-0.204033822851
25,0.126993213819,-0.20379885004
26,0.127225468138,-0.204805392227
27,0.125085280883,-0.205431986391
28,0.125505334591,-0.205046766541
29,0.125251306431,-0.205311110954
30,0.124905646683,-0.204886728969
31,0.128553672521,-0.204835893505
32,0.128700645957,-0.20551068722
33,0.129324829438,-0.205604450409
34,0.129302148352,-0.205508427866
35,0.129377449557,-0.204844177803
36,0.129112534475,-0.204393813248
37,0.12835226448,-0.203307063995
38,0.12859812745,-0.202366043073
39,0.128987334882,-0.201893838096
40,0.130794563797,-0.202144249826
41,0.131289918711,-0.201529328991
42,0.131097583103,-0.201424269032
43,0.135573014951,-0.200760395528
44,0.136147300044,-0.199730130124
45,0.135867869067,-0.200505088531
46,0.137337603426,-0.200417726845
47,0.135706379736,-0.20022492864
48,0.136377739875,-0.200175222853
49,0.13543511395,-0.19997451691
50,0.135823414138,-0.199658207357
51,0.135047721005,-0.19934302748
52,0.136945674263,-0.199087343924
53,0.136649912905,-0.1985503708
54,0.136785092176,-0.198582001756
55,0.136709790971,-0.198496146305
56,0.138001705618,-0.197887250414
57,0.13737298592,-0.197264798399
58,0.137575301205,-0.196946229492
59,0.139802583829,-0.197157102527
60,0.137576208448,-0.195504385109
61,0.139779902744,-0.195694923959
62,0.139457831325,-0.194890593951
63,0.139441500944,-0.194109234041
64,0.140696218609,-0.193676191199
65,0.139959536943,-0.193043572092
66,0.1394405937,-0.193325991336
67,0.141918275512,-0.193420884202
68,0.141672412542,-0.19326837781
69,0.143149404848,-0.192964871262
70,0.143847075047,-0.193495066324
71,0.143313615909,-0.193169719354
72,0.14365746117,-0.19250584585
73,0.142473508492,-0.192338653658
74,0.140677166497,-0.193897607887
75,0.14058009145,-0.193541759639
76,0.141538140514,-0.193026626937
77,0.141294999274,-0.193809869642
78,0.1431630135,-0.193430674736
79,0.143962294963,-0.193004786516
80,0.146143308172,-0.192013683247
81,0.147629372913,-0.193236746855
82,0.146720314995,-0.19244258394
83,0.145991798519,-0.192269366803
84,0.148094788794,-0.191435665193
85,0.148263536072,-0.191898832754
86,0.143441537233,-0.191492149042
87,0.143884272028,-0.190877604766
88,0.147669291624,-0.190309753805
89,0.147808099869,-0.191030487717
90,0.145665190884,-0.192860564421
91,0.147457903905,-0.192906504618
92,0.147623929453,-0.192454633827
93,0.141584409929,-0.192228698432
94,0.144644542024,-0.191135171117
95,0.145325881841,-0.191082076299
96,0.146920815793,-0.190901327983
97,0.147007003919,-0.190330087991
98,0.1459391784,-0.189625922675
99,0.145660654667,-0.188451058618
100,0.145322252867,-0.187637691193
