t,R,r
0,0.10725477210045083,-0.207876230812
1,0.10934678472927942,-0.207409824844
2,0.10985175642328433,-0.206963828373
3,0.11079510814341784,-0.206641418563
4,0.11166488242125205,-0.206829434468
5,0.11242052547539635,-0.206697714133
6,0.11378084627667377,-0.206483828625
7,0.11460371606909645,-0.206404224054
8,0.11500680432573748,-0.206263390991
9,0.11508029104369358,-0.206269415934
10,0.114947198432284,-0.205915224546
11,0.11606628320511023,-0.205513210165
12,0.11640604587022851,-0.205317738392
13,0.1176066918275519,-0.205119555395
14,0.11739385251850849,-0.205461998142
15,0.11775629626941567,-0.205280120149
16,0.11797466976339163,-0.20520665349
17,0.11836251633038249,-0.205526841601
18,0.11833248657279791,-0.205542958326
19,0.11923773406880614,-0.205530080008
20,0.11974379445492891,-0.205492311141
21,0.11990428581797137,-0.205558736148
22,0.12026455218464291,-0.20551987526
23,0.12097936928436707,-0.205592249898
24,0.12108950863695815,-0.206079178331
25,0.1214417005370888,-0.205983795939
26,0.121938597764553,-0.205997239095
27,0.12182918420670714,-0.205669105588
28,0.12231637392945356,-0.205242426594
29,0.12258283132530197,-0.205336528686
30,0.12328957395848539,-0.204791911415
31,0.12432555523298092,-0.204507534064
32,0.12448486717956245,-0.204132029436
33,0.12501124981855213,-0.203796063503
34,0.12545661561910368,-0.203913738188
35,0.12556439613877277,-0.203889374822
36,0.12642800116127237,-0.203719433748
37,0.12654948105675795,-0.202944174094
38,0.12722800841921983,-0.202611597192
39,0.12734703875744025,-0.202464099034
40,0.1271689468718255,-0.202524612064
41,0.12765296124256148,-0.202603877732
42,0.12795779503556487,-0.202397146845
43,0.12849288721149751,-0.202039491114
44,0.12894904920888464,-0.201663233369
45,0.12911933880098803,-0.201596394148
46,0.12949158078095604,-0.201452925171
47,0.13003039265495814,-0.201477853377
48,0.1305060603861237,-0.200951423905
49,0.13109549644360663,-0.200579458932
50,0.13128901146755784,-0.20070142639
51,0.13125979822906172,-0.200529489554
52,0.13149250616925628,-0.200482156088
